hora,jogador,tipo,time,set,sacador,fase
21:27:34,Aye,Ataque,time2,1,Arthur,Outro
21:28:03,Aye,Erro de saque,time2,1,Aye,Outro
21:29:47,Bassereau,Ataque,time2,1,Evando,Outro
21:30:11,Bassereau,Bloqueio,time2,1,Bassereau,Outro
21:31:35,Evando,Ataque,time1,1,Bassereau,K1 (side-out)
21:32:37,Arthur,Erro de saque,time1,1,Arthur,K1 (side-out)
21:32:59,Aye,Erro de saque,time2,1,Aye,K1 (side-out)
21:34:12,Evando,Bloqueio,time1,1,Evando,Outro
21:34:44,Bassereau,Ataque,time2,1,Evando,K1 (side-out)
21:35:11,Bassereau,Bloqueio,time2,1,Bassereau,K2 (com saque)
21:37:19,Arthur,Ataque,time1,1,Bassereau,K1 (side-out)
21:37:39,Aye,Ataque,time2,1,Arthur,K1 (side-out)
21:37:58,Evando,Ataque,time1,1,Aye,K1 (side-out)
21:38:34,Bassereau,Ataque,time2,1,Evando,Outro
21:39:15,Evando,Ataque,time1,1,Bassereau,K1 (side-out)
21:39:36,Bassereau,Ataque,time2,1,Arthur,K1 (side-out)
21:40:00,Evando,Ataque,time1,1,Aye,K1 (side-out)
21:40:29,Evando,Ace,time1,1,Evando,Outro
21:41:03,Bassereau,Ataque,time2,1,Evando,Outro
21:41:22,Evando,Ataque,time1,1,Bassereau,K1 (side-out)
21:41:56,Bassereau,Ataque,time2,1,Arthur,K1 (side-out)
